goos: darwin
goarch: arm64
pkg: uk.ac.bris.cs/gameoflife
,results.out
,sec/op,CI
Gol/512x512x1000-1-8,7.883233625000001,5%
Gol/512x512x1000-2-8,4.951758312500001,24%
Gol/512x512x1000-3-8,4.1166005835,41%
Gol/512x512x1000-4-8,3.753244583,2%
Gol/512x512x1000-5-8,3.327483125,2%
Gol/512x512x1000-6-8,3.1226763330000002,1%
Gol/512x512x1000-7-8,3.3969294585000003,0%
Gol/512x512x1000-8-8,3.2672067705,2%
Gol/512x512x1000-9-8,3.1058497085,1%
Gol/512x512x1000-10-8,2.8987336875,2%
Gol/512x512x1000-11-8,3.1604646250000004,0%
Gol/512x512x1000-12-8,3.0613167505000005,0%
Gol/512x512x1000-13-8,3.119923729,1%
Gol/512x512x1000-14-8,3.162019271,0%
Gol/512x512x1000-15-8,3.0817948125,1%
Gol/512x512x1000-16-8,3.111196708,1%
geomean,3.526855697749313
